Date,AGG,XLB,XLF,XLI,XLK,XLP,XLU,XLV
2014-12-29,81.36837005615234,19.727663040161133,16.563505172729492,47.1448974609375,18.47530746459961,36.78339767456055,17.212007522583008,57.9101676940918
2014-12-30,81.4571533203125,19.659542083740234,16.54366683959961,46.8660888671875,18.34368133544922,36.61928939819336,16.854522705078125,57.659706115722656
2014-12-31,81.47938537597656,19.467199325561523,16.35844612121582,46.39866256713867,18.141860961914062,36.17169189453125,16.54960060119629,57.083709716796875
2015-01-02,81.70873260498047,19.49524688720703,16.35844612121582,46.341270446777344,18.10675811767578,36.06726837158203,16.626708984375,57.29240798950195
2015-01-05,81.88632202148438,18.99834442138672,16.01447105407715,45.2587776184082,17.830358505249023,35.813636779785156,16.423429489135742,57.00023651123047
2015-01-06,82.09352111816406,18.83004379272461,15.769725799560547,44.70113754272461,17.615373611450195,35.768882751464844,16.433940887451172,56.80820083618164
2015-01-07,82.07868194580078,19.04242515563965,15.935100555419922,45.0373649597168,17.764543533325195,36.38057327270508,16.59516716003418,58.14391326904297
2015-01-08,81.95294952392578,19.49524688720703,16.17323112487793,45.939422607421875,18.155019760131836,36.93258285522461,16.710826873779297,59.137306213378906
2015-01-09,82.1526870727539,19.395065307617188,15.954943656921387,45.4473876953125,18.097986221313477,36.63420486450195,16.605680465698242,58.61137390136719
2015-01-12,82.21927642822266,19.350988388061523,15.822647094726562,45.13577651977539,17.887392044067383,36.52229309082031,16.567127227783203,58.63644027709961
2015-01-13,82.24150085449219,19.13459587097168,15.769725799560547,45.04555130004883,17.87422752380371,36.51484680175781,16.612686157226562,58.377662658691406
2015-01-14,82.44126892089844,18.91019058227539,15.544827461242676,44.799556732177734,17.7733211517334,36.40294647216797,16.756383895874023,58.285823822021484
2015-01-15,82.818603515625,18.87412452697754,15.352994918823242,44.586334228515625,17.5451717376709,36.462646484375,16.889564514160156,57.659706115722656
2015-01-16,82.50048065185547,19.174667358398438,15.538211822509766,44.88154983520508,17.71628761291504,36.7535514831543,17.04026985168457,58.74494552612305
2015-01-20,82.64105987548828,19.20672607421875,15.472063064575195,45.20136260986328,17.865455627441406,36.902740478515625,17.08232879638672,58.74494552612305
2015-01-21,82.4930648803711,19.395065307617188,15.51175308227539,45.57040023803711,17.89616584777832,37.08177947998047,17.247055053710938,58.86182403564453
2015-01-22,82.44864654541016,19.63951301574707,15.895411491394043,46.300254821777344,18.190126419067383,37.454750061035156,17.173452377319336,59.563045501708984
2015-01-23,82.65579223632812,19.3349666595459,15.723427772521973,45.91482162475586,18.185733795166016,37.03702926635742,17.222518920898438,59.22077941894531
2015-01-26,82.61885070800781,19.419105529785156,15.80280590057373,45.972225189208984,18.111141204833984,37.03702926635742,17.212007522583008,59.5296745300293
2015-01-27,82.57442474365234,19.286869049072266,15.630819320678711,45.36538314819336,17.589048385620117,36.6118278503418,17.236536026000977,59.103919982910156
2015-01-28,82.92218780517578,18.93824005126953,15.346381187438965,44.97175979614258,17.55833625793457,36.18661880493164,17.089338302612305,58.25242614746094
2015-01-29,82.85562896728516,19.186687469482422,15.472063064575195,45.488399505615234,17.725048065185547,36.47754669189453,17.31715202331543,58.74494552612305
2015-01-30,83.1515884399414,19.110544204711914,15.220699310302734,44.75035095214844,17.50568962097168,35.82109832763672,16.935131072998047,57.82666778564453
2015-02-02,83.14862060546875,19.282861709594727,15.465445518493652,45.41459274291992,17.68557357788086,36.24630355834961,17.008731842041016,58.152259826660156
2015-02-03,82.82994842529297,19.707632064819336,15.723427772521973,46.152645111083984,17.887392044067383,36.56706237792969,17.07181739807129,58.54460906982422
2015-02-04,82.95594787597656,19.57940101623535,15.683738708496094,45.80001449584961,17.922487258911133,36.58198928833008,16.865032196044922,57.809974670410156
2015-02-05,82.78545379638672,20.0522518157959,15.842490196228027,46.19363784790039,18.089214324951172,36.76847839355469,17.019245147705078,58.78669738769531
2015-02-06,82.30380249023438,20.00416374206543,15.968174934387207,46.087039947509766,18.03217124938965,36.6043701171875,16.318286895751953,58.25242614746094
2015-02-09,82.28895568847656,19.980121612548828,15.88879680633545,45.964019775390625,18.00584602355957,36.3283576965332,16.174589157104492,57.567909240722656
2015-02-10,82.20003509521484,20.128398895263672,16.01447105407715,46.218238830566406,18.27349090576172,36.7535514831543,16.50754737854004,58.5362663269043
2015-02-11,82.1629867553711,20.096328735351562,16.01447105407715,46.234657287597656,18.34368133544922,36.92512893676758,16.150060653686523,58.59468460083008
2015-02-12,82.1778335571289,20.44095230102539,16.17323112487793,46.66926193237305,18.593761444091797,37.096702575683594,16.076452255249023,58.80339431762695
2015-02-13,82.08148193359375,20.61326789855957,16.160005569458008,46.882484436035156,18.712221145629883,36.92512893676758,15.831125259399414,59.037132263183594
2015-02-17,81.74801635742188,20.637317657470703,16.212921142578125,46.94810104370117,18.720993041992188,36.93258285522461,15.817108154296875,59.462886810302734
